unityTimeStamp,sessionTime,ExciteOMeter
2024-05-06|17:21:28.233,0.720001,0.51226
2024-05-06|17:21:28.233,1.720001,0.49045
2024-05-06|17:21:28.233,2.720001,0.44903
2024-05-06|17:21:28.233,3.720001,0.87252
2024-05-06|17:21:28.233,4.720001,0.78860
2024-05-06|17:21:28.233,5.720001,0.75197
2024-05-06|17:21:28.233,6.720001,0.44620
2024-05-06|17:21:28.233,7.720001,0.44842
2024-05-06|17:21:28.233,8.720001,0.35177
2024-05-06|17:21:28.233,9.720001,0.34475
2024-05-06|17:21:28.233,10.720000,0.37765
2024-05-06|17:21:28.233,11.720000,0.31059
2024-05-06|17:21:28.233,12.720000,0.34207
2024-05-06|17:21:28.233,13.720000,0.45966
2024-05-06|17:21:28.233,14.740010,0.32239
