unityTimeStamp,sessionTime,RMSSD
2024-05-06|17:21:22.260,0.7200012,11.44568
2024-05-06|17:21:22.260,1.720001,11.44568
2024-05-06|17:21:23.261,2.720001,10.1693
2024-05-06|17:21:24.262,3.720001,7.488737
2024-05-06|17:21:25.263,4.720001,7.186473
2024-05-06|17:21:26.265,5.720001,7.540115
2024-05-06|17:21:27.266,6.720001,9.273845
2024-05-06|17:21:28.232,7.720001,9.273845
2024-05-06|17:21:28.232,8.720001,9.273845
2024-05-06|17:21:28.232,9.720001,9.273845
2024-05-06|17:21:28.232,10.72,9.273845
2024-05-06|17:21:28.232,11.72,9.273845
2024-05-06|17:21:28.232,12.72,9.273845
2024-05-06|17:21:28.232,13.72,9.273845
2024-05-06|17:21:28.232,14.74001,9.273845
