unityTimeStamp,sessionTime,RRi
2024-06-03|13:55:53.121,0.333341,802.734
2024-06-03|13:55:53.121,0.333341,787.109
2024-06-03|13:55:54.143,1.355586,764.648
2024-06-03|13:55:55.119,2.333385,827.148
2024-06-03|13:55:56.145,3.355630,815.430
2024-06-03|13:55:57.118,4.333430,901.367
2024-06-03|13:55:58.240,5.455677,871.094
2024-06-03|13:55:58.240,5.455677,826.172
2024-06-03|13:55:59.165,6.377920,755.859
2024-06-03|13:56:00.142,7.355720,744.141
2024-06-03|13:56:00.142,7.355720,698.242
2024-06-03|13:56:01.118,8.333518,643.555
2024-06-03|13:56:02.138,9.355763,639.648
2024-06-03|13:56:03.116,10.322450,632.813
2024-06-03|13:56:03.116,10.322450,939.453
2024-06-03|13:56:04.137,11.344700,707.031
2024-06-03|13:56:05.114,12.244720,681.641
2024-06-03|13:56:05.114,12.244720,685.547
2024-06-03|13:56:06.147,13.278070,663.086
2024-06-03|13:56:07.114,14.244760,643.555
2024-06-03|13:56:07.114,14.244760,621.094
2024-06-03|13:56:08.137,15.267010,619.141
2024-06-03|13:56:08.137,15.267010,615.234
2024-06-03|13:56:09.168,16.300360,622.070
2024-06-03|13:56:10.231,17.322610,628.906
2024-06-03|13:56:10.231,17.322610,637.695
2024-06-03|13:56:11.158,18.289300,635.742
2024-06-03|13:56:12.136,19.267090,620.117
2024-06-03|13:56:12.136,19.267090,627.930
2024-06-03|13:56:13.113,20.244900,633.789
2024-06-03|13:56:14.179,21.278250,655.273
2024-06-03|13:56:15.113,22.211610,698.242
2024-06-03|13:56:16.135,23.233850,797.852
2024-06-03|13:56:16.135,23.233850,930.664
2024-06-03|13:56:17.114,24.211650,906.250
2024-06-03|13:56:18.135,25.200560,890.625
2024-06-03|13:56:19.195,26.222810,880.859
2024-06-03|13:56:20.136,27.200600,820.313
2024-06-03|13:56:20.136,27.200600,791.016
2024-06-03|13:56:21.158,28.222850,772.461
2024-06-03|13:56:22.125,29.189540,742.188
2024-06-03|13:56:23.158,30.222890,728.516
2024-06-03|13:56:24.136,31.200690,713.867
2024-06-03|13:56:25.147,32.211830,778.320
2024-06-03|13:56:26.124,33.189620,963.867
2024-06-03|13:56:26.124,33.189620,937.500
2024-06-03|13:56:27.147,34.145200,913.086
2024-06-03|13:56:28.158,35.123000,868.164
2024-06-03|13:56:29.158,36.156360,812.500
2024-06-03|13:56:29.158,36.156360,758.789
2024-06-03|13:56:30.124,37.045270,708.984
2024-06-03|13:56:31.146,38.067510,650.391
2024-06-03|13:56:31.146,38.067510,638.672
2024-06-03|13:56:32.124,39.045310,704.102
2024-06-03|13:56:33.146,40.067560,798.828
2024-06-03|13:56:34.123,41.045360,792.969
2024-06-03|13:56:35.146,42.067600,891.602
2024-06-03|13:56:36.124,43.045400,899.414
2024-06-03|13:56:36.124,43.045400,863.281
2024-06-03|13:56:37.182,44.067650,826.172
2024-06-03|13:56:38.123,45.045440,728.516
2024-06-03|13:56:39.146,46.023240,709.961
2024-06-03|13:56:39.146,46.023240,696.289
2024-06-03|13:56:40.123,47.001050,708.984
2024-06-03|13:56:41.146,47.989960,747.070
2024-06-03|13:56:42.159,48.967750,731.445
2024-06-03|13:56:43.146,49.990000,785.156
2024-06-03|13:56:43.146,49.990000,848.633
2024-06-03|13:56:44.112,50.956690,869.141
2024-06-03|13:56:45.146,51.990040,875.000
2024-06-03|13:56:46.159,52.967840,842.773
2024-06-03|13:56:47.190,54.034530,764.648
2024-06-03|13:56:47.190,54.034530,752.930
2024-06-03|13:56:48.112,54.956780,752.930
2024-06-03|13:56:49.134,55.979020,776.367
2024-06-03|13:56:49.134,55.979020,719.727
2024-06-03|13:56:51.172,57.901290,696.289
