unityTimeStamp,sessionTime,RRi
2024-06-03|13:56:52.112,58.879090,691.406
2024-06-03|13:56:52.112,58.879090,1266.602
2024-06-03|13:56:53.190,59.923560,932.617
2024-06-03|13:56:54.111,60.845800,875.977
2024-06-03|13:56:55.134,61.868040,826.172
2024-06-03|13:56:56.111,62.845840,788.086
2024-06-03|13:56:56.111,62.845840,752.930
2024-06-03|13:56:57.133,63.868080,727.539
2024-06-03|13:56:58.156,64.890340,720.703
2024-06-03|13:56:59.134,65.868130,764.648
2024-06-03|13:56:59.134,65.868130,799.805
2024-06-03|13:57:00.190,66.890380,821.289
2024-06-03|13:57:01.266,67.968180,801.758
2024-06-03|13:57:02.156,68.812640,721.680
2024-06-03|13:57:02.156,68.812640,691.406
2024-06-03|13:57:03.133,69.790440,701.172
2024-06-03|13:57:04.155,70.746020,873.047
2024-06-03|13:57:05.133,71.723820,850.586
2024-06-03|13:57:06.156,72.712730,804.688
2024-06-03|13:57:06.156,72.712730,753.906
2024-06-03|13:57:07.122,73.679420,750.977
2024-06-03|13:57:08.156,74.712780,737.305
2024-06-03|13:57:09.172,75.690570,726.563
2024-06-03|13:57:09.172,75.690570,751.953
2024-06-03|13:57:10.156,76.712820,757.813
2024-06-03|13:57:11.121,77.679500,685.547
2024-06-03|13:57:11.121,77.679500,666.992
2024-06-03|13:57:12.155,78.712870,709.961
2024-06-03|13:57:13.123,79.679550,721.680
2024-06-03|13:57:14.199,80.757350,841.797
2024-06-03|13:57:15.121,81.635150,838.867
2024-06-03|13:57:15.121,81.635150,791.992
2024-06-03|13:57:16.144,82.657390,750.000
2024-06-03|13:57:17.121,83.635190,754.883
2024-06-03|13:57:18.144,84.657440,756.836
2024-06-03|13:57:18.144,84.657440,763.672
2024-06-03|13:57:19.121,85.635240,698.242
2024-06-03|13:57:20.187,86.701930,669.922
2024-06-03|13:57:20.199,86.713040,707.031
