unityTimeStamp,sessionTime,HR
2024-06-03|13:55:53.121,0.333341,74
2024-06-03|13:55:54.143,1.355586,74
2024-06-03|13:55:55.119,2.333385,74
2024-06-03|13:55:56.182,3.366742,75
2024-06-03|13:55:57.118,4.333430,74
2024-06-03|13:55:58.240,5.455677,73
2024-06-03|13:55:59.165,6.377920,73
2024-06-03|13:56:00.142,7.355720,74
2024-06-03|13:56:01.115,8.333518,75
2024-06-03|13:56:02.138,9.355763,78
2024-06-03|13:56:03.116,10.322450,83
2024-06-03|13:56:04.137,11.344700,85
2024-06-03|13:56:05.114,12.244720,86
2024-06-03|13:56:06.147,13.278070,86
2024-06-03|13:56:07.114,14.244760,87
2024-06-03|13:56:08.137,15.267010,90
2024-06-03|13:56:09.167,16.300360,91
2024-06-03|13:56:10.231,17.322610,92
2024-06-03|13:56:11.158,18.289300,93
2024-06-03|13:56:12.136,19.267090,93
2024-06-03|13:56:13.113,20.244900,94
2024-06-03|13:56:14.179,21.278250,94
2024-06-03|13:56:15.113,22.211610,94
2024-06-03|13:56:16.135,23.233850,88
2024-06-03|13:56:17.114,24.211650,82
2024-06-03|13:56:18.135,25.200560,80
2024-06-03|13:56:19.195,26.222810,79
2024-06-03|13:56:20.136,27.200600,77
2024-06-03|13:56:21.158,28.222850,77
2024-06-03|13:56:22.125,29.189540,77
2024-06-03|13:56:23.158,30.222890,77
2024-06-03|13:56:24.136,31.200690,78
2024-06-03|13:56:25.147,32.211830,78
2024-06-03|13:56:26.124,33.189620,78
2024-06-03|13:56:27.147,34.145200,76
2024-06-03|13:56:28.158,35.123000,75
2024-06-03|13:56:29.158,36.156360,74
2024-06-03|13:56:30.124,37.045270,74
2024-06-03|13:56:31.146,38.067510,76
2024-06-03|13:56:32.124,39.045310,78
2024-06-03|13:56:33.146,40.067560,79
2024-06-03|13:56:34.123,41.045360,79
2024-06-03|13:56:35.146,42.067600,79
2024-06-03|13:56:36.124,43.045400,77
2024-06-03|13:56:37.182,44.067650,76
2024-06-03|13:56:38.123,45.045440,76
2024-06-03|13:56:39.146,46.023240,77
2024-06-03|13:56:40.123,47.001050,77
2024-06-03|13:56:41.146,47.989960,78
2024-06-03|13:56:42.159,48.967750,79
2024-06-03|13:56:43.146,49.990000,79
2024-06-03|13:56:44.112,50.956690,78
2024-06-03|13:56:45.146,51.990040,78
2024-06-03|13:56:46.159,52.967840,77
2024-06-03|13:56:47.190,54.034530,76
2024-06-03|13:56:48.112,54.956780,76
2024-06-03|13:56:49.134,55.979020,77
2024-06-03|13:56:50.112,56.879040,77
2024-06-03|13:56:51.172,57.901290,77
2024-06-03|13:56:52.111,58.879090,80
2024-06-03|13:56:53.190,59.923560,81
2024-06-03|13:56:54.111,60.845800,81
2024-06-03|13:56:55.134,61.868040,80
2024-06-03|13:56:56.111,62.845840,77
2024-06-03|13:56:57.133,63.868080,77
2024-06-03|13:56:58.156,64.890340,78
2024-06-03|13:56:59.134,65.868130,78
2024-06-03|13:57:00.190,66.890380,78
2024-06-03|13:57:01.266,67.968180,78
2024-06-03|13:57:02.156,68.812640,78
2024-06-03|13:57:03.133,69.790440,78
2024-06-03|13:57:04.155,70.746020,79
2024-06-03|13:57:05.133,71.723820,79
2024-06-03|13:57:06.156,72.712730,77
2024-06-03|13:57:07.122,73.679420,77
2024-06-03|13:57:08.156,74.712780,78
2024-06-03|13:57:09.172,75.690570,78
2024-06-03|13:57:10.156,76.712820,79
2024-06-03|13:57:11.121,77.679500,79
2024-06-03|13:57:12.155,78.712870,80
2024-06-03|13:57:13.123,79.679550,81
2024-06-03|13:57:14.199,80.757350,81
2024-06-03|13:57:15.121,81.635150,80
2024-06-03|13:57:16.144,82.657390,79
2024-06-03|13:57:17.121,83.635190,79
2024-06-03|13:57:18.144,84.657440,79
2024-06-03|13:57:19.121,85.635240,79
2024-06-03|13:57:20.199,86.713040,80
