unityTimeStamp,sessionTime,RMSSD
2024-05-06|15:40:42.440,0.09999943,9.422306
2024-05-06|15:40:42.440,1.099999,9.422306
2024-05-06|15:40:43.440,2.099999,9.294872
2024-05-06|15:40:44.440,3.099999,8.216042
2024-05-06|15:40:45.440,4.12,8.074527
2024-05-06|15:40:46.452,5.12,9.212884
2024-05-06|15:40:47.462,6.12,10.2709
2024-05-06|15:40:48.462,7.14,10.80704
2024-05-06|15:40:49.473,8.14,11.23848
2024-05-06|15:40:50.484,9.14,12.55264
