 1717415094624, 1 
 1717415094626, 73 
 1717415094627, 0 
 1717415094627, 73 
 1717415094628, -89856 
 1717415094628, -86016 
 1717415094629, -90880 
 1717415094629, -97792 
 1717415094630, -93952 
 1717415094630, -82432 
 1717415094630, -75008 
 1717415094631, -76800 
 1717415094632, -79360 
 1717415094632, -67072 
 1717415094632, -42240 
 1717415094633, -38656 
 1717415094633, -61440 
 1717415094634, -67584 
 1717415094634, -54784 
 1717415094635, -52736 
 1717415094635, -52736 
 1717415094635, -44800 
 1717415094636, -44800 
 1717415094636, -49152 
 1717415094637, -44288 
 1717415094637, -44288 
 1717415094639, -50432 
 1717415094639, -43520 
 1717415094640, -31232 
 1717415094641, -29440 
 1717415094642, -35584 
 1717415094643, -36096 
 1717415094644, -31232 
 1717415094644, -32000 
 1717415094645, -32000 
 1717415094646, -19456 
 1717415094646, -14592 
 1717415094646, -28928 
 1717415094646, -28160 
 1717415094647, -8448 
 1717415094648, -3072 
 1717415094648, -11008 
 1717415094649, -15360 
 1717415094649, -17664 
 1717415094650, -15872 
 1717415094650, -7168 
 1717415094650, -6144 
 1717415094651, -17152 
 1717415094651, -18944 
 1717415094652, -12288 
 1717415094653, -11008 
 1717415094653, -14592 
 1717415094654, -25088 
 1717415094654, -20224 
 1717415094655, 24576 
 1717415094655, 70656 
 1717415094656, 91648 
 1717415094656, 79872 
 1717415094657, 3072 
 1717415094657, -78080 
 1717415094658, -67072 
 1717415094659, -11008 
 1717415094659, 5376 
 1717415094660, 512 
 1717415094660, 6656 
 1717415094660, 14592 
 1717415094661, 18944 
 1717415094661, 34304 
 1717415094662, 48384 
 1717415094663, 46080 
 1717415094663, 41728 
 1717415094664, 1 
 1717415094664, 73 
 1717415094665, 0 
 1717415094665, 73 
 1717415094666, 72448 
 1717415094667, 71168 
 1717415094667, 71936 
 1717415094668, 62720 
 1717415094669, 52224 
 1717415094669, 55296 
 1717415094670, 55296 
 1717415094670, 47872 
 1717415094670, 48384 
 1717415094671, 46592 
 1717415094672, 36096 
 1717415094673, 28160 
 1717415094673, 20224 
 1717415094677, 9216 
 1717415094678, -1792 
 1717415094679, -15872 
 1717415094679, -27648 
 1717415094680, -34304 
 1717415094680, -41216 
 1717415094680, -50432 
 1717415094681, -55808 
 1717415094682, -52736 
 1717415094683, -51712 
 1717415094683, -55808 
 1717415094684, -49664 
 1717415094684, -36096 
 1717415094685, -38656 
 1717415094685, -57088 
 1717415094686, -62720 
 1717415094686, -52736 
 1717415094687, -52736 
 1717415094688, -55808 
 1717415094688, -46080 
 1717415094689, -47360 
 1717415094689, -67584 
 1717415094690, -70144 
 1717415094690, -60160 
 1717415094691, -63232 
 1717415094692, -60928 
 1717415094692, -51712 
 1717415094693, -68864 
 1717415094694, -93440 
 1717415094694, -79872 
 1717415094695, -61952 
 1717415094695, -79872 
 1717415094696, -90880 
 1717415094696, -69376 
 1717415094697, -58880 
 1717415094697, -78592 
 1717415094698, -86016 
 1717415094698, -67584 
 1717415094698, -54016 
 1717415094699, -61952 
 1717415094700, -77568 
 1717415094700, -73728 
 1717415094700, -60160 
 1717415094701, -64000 
 1717415094701, -75008 
 1717415094703, -71168 
 1717415094704, -57088 
 1717415094705, -44800 
 1717415094705, -61952 
 1717415094706, -86784 
 1717415094707, -78080 
 1717415094708, -67584 
 1717415094708, -44288 
 1717415094709, 25088 
 1717415095041, 1 
 1717415095042, 73 
 1717415095043, 0 
 1717415095043, 73 
 1717415095043, -67584 
 1717415095044, -49664 
 1717415095044, -38656 
 1717415095045, -53504 
 1717415095045, -58368 
 1717415095046, -46592 
 1717415095046, -47872 
 1717415095047, -48384 
 1717415095047, -30720 
 1717415095048, -23808 
 1717415095049, -35072 
 1717415095049, -39168 
 1717415095050, -36096 
 1717415095050, -29952 
 1717415095050, -23808 
 1717415095050, -21504 
 1717415095051, -14080 
 1717415095052, -5376 
 1717415095052, -3584 
 1717415095053, -1792 
 1717415095053, 3584 
 1717415095054, 4864 
 1717415095054, 3584 
 1717415095055, 2304 
 1717415095056, 512 
 1717415095056, -3072 
 1717415095057, -14592 
